id,agency_id,agency_code,employee_code,first_name,last_name,full_name,gender,birth_date,nni,ethnicity,phone,email,role,status,hire_date,contract_type,salary_grade,created_at,updated_at
1,1,NKC-N-001,AG-NKC-N-001-01,Mohamed Lemine,Bâ,Mohamed Lemine Bâ,M,2000-11-06,0001587056,WOLOF,+22237250815,mohamed lemine.bâ@nafadpay.mr,MANAGER,ACTIVE,2023-12-20,CDI,B,2023-12-20T06:12:30.173Z,2024-08-23T05:31:29.017Z
2,1,NKC-N-001,AG-NKC-N-001-02,Hawa,Mint Moulaye,Hawa Mint Moulaye,F,1996-03-24,9601612555,MAURE,+22249361338,hawa.mintmoulaye@nafadpay.mr,CASHIER,ACTIVE,2023-04-11,CDI,E,2023-04-11T10:45:27.946Z,2023-10-24T03:20:30.480Z
3,1,NKC-N-001,AG-NKC-N-001-03,Mariama,Sarr,Mariama Sarr,F,1974-01-18,7401349840,SONINKE,+22225111707,mariama.sarr@nafadpay.mr,CASHIER,ACTIVE,2020-01-08,CDI,D,2020-01-08T15:55:08.559Z,2023-07-25T16:57:38.642Z
4,1,NKC-N-001,AG-NKC-N-001-04,Souleymane,Koita,Souleymane Koita,M,1978-07-24,7801263715,SONINKE,+22247267096,souleymane.koita@nafadpay.mr,CASHIER,ACTIVE,2020-06-26,CDI,E,2020-06-26T23:44:46.796Z,2023-07-27T01:22:41.954Z
5,1,NKC-N-001,AG-NKC-N-001-05,Mouna,Anne,Mouna Anne,F,1999-03-10,9901479829,PEUL,+22233823493,mouna.anne@nafadpay.mr,CASHIER,ACTIVE,2021-04-28,CDI,D,2021-04-28T01:11:14.964Z,2022-04-22T22:36:16.444Z
6,2,NKC-N-002,AG-NKC-N-002-01,Dah,Ould Vall,Dah Ould Vall,M,1971-06-07,7101733899,MAURE,+22225221045,dah.ouldvall@nafadpay.mr,MANAGER,ACTIVE,2020-01-09,CDD,B,2020-01-09T22:39:45.395Z,2021-04-24T23:49:07.091Z
7,2,NKC-N-002,AG-NKC-N-002-02,Fatoumata,Fall,Fatoumata Fall,F,1996-09-19,9601336390,WOLOF,+22248578081,fatoumata.fall@nafadpay.mr,CASHIER,ACTIVE,2020-09-20,CDI,C,2020-09-20T16:26:34.078Z,2021-03-07T16:22:52.793Z
8,2,NKC-N-002,AG-NKC-N-002-03,Kiné,Barry,Kiné Barry,F,2000-02-24,0001332324,PEUL,+22249578077,kiné.barry@nafadpay.mr,CASHIER,ACTIVE,2020-03-20,STAGE,E,2020-03-20T19:25:35.558Z,2024-07-20T16:30:17.092Z
9,2,NKC-N-002,AG-NKC-N-002-04,Naima,Mint Abdel Kader,Naima Mint Abdel Kader,F,1998-03-22,9801876436,MAURE,+22222448902,naima.mintabdelkader@nafadpay.mr,CASHIER,ACTIVE,2022-07-28,CDD,C,2022-07-28T16:58:11.101Z,2022-08-20T07:25:06.288Z
10,2,NKC-N-002,AG-NKC-N-002-05,Youssouf,Ould Mokhtar,Youssouf Ould Mokhtar,M,1973-12-20,7301221051,MAURE,+22237107038,youssouf.ouldmokhtar@nafadpay.mr,CASHIER,ACTIVE,2022-11-07,CDI,D,2022-11-07T04:43:05.086Z,2023-12-09T23:19:20.731Z
11,3,NKC-N-003,AG-NKC-N-003-01,Zeinab,Fall,Zeinab Fall,F,1970-11-09,7001802446,PEUL,+22241852536,zeinab.fall@nafadpay.mr,MANAGER,ACTIVE,2021-04-25,STAGE,A,2021-04-25T06:00:11.091Z,2023-05-11T21:50:01.737Z
12,3,NKC-N-003,AG-NKC-N-003-02,Lehbib,Ould Horma,Lehbib Ould Horma,M,1985-04-10,8501053978,MAURE,+22246370238,lehbib.ouldhorma@nafadpay.mr,CASHIER,ACTIVE,2023-08-07,CDD,D,2023-08-07T01:53:26.495Z,2024-11-18T10:02:10.248Z
13,3,NKC-N-003,AG-NKC-N-003-03,Toumani,Gaye,Toumani Gaye,M,1978-02-13,7801625896,SONINKE,+22234487506,toumani.gaye@nafadpay.mr,CASHIER,ACTIVE,2023-07-09,CDD,E,2023-07-09T07:40:17.476Z,2024-05-29T01:41:39.010Z
14,4,NKC-N-004,AG-NKC-N-004-01,Ahmed,Sall,Ahmed Sall,M,1971-11-28,7101525551,WOLOF,+22222351887,ahmed.sall@nafadpay.mr,MANAGER,ACTIVE,2023-10-19,CDI,A,2023-10-19T15:12:31.680Z,2024-04-17T19:15:19.053Z
15,4,NKC-N-004,AG-NKC-N-004-02,Mounina,Mint Saad,Mounina Mint Saad,F,1975-05-28,7501110601,MAURE,+22232895051,mounina.mintsaad@nafadpay.mr,CASHIER,ACTIVE,2022-05-19,STAGE,C,2022-05-19T22:45:05.984Z,2024-04-18T18:19:53.001Z
16,4,NKC-N-004,AG-NKC-N-004-03,Demba,Doucouré,Demba Doucouré,M,1998-12-23,9801630377,SONINKE,+22223089668,demba.doucouré@nafadpay.mr,CASHIER,ACTIVE,2021-01-29,CDI,C,2021-01-29T09:13:25.834Z,2022-01-09T00:43:03.522Z
17,4,NKC-N-004,AG-NKC-N-004-04,Sidi,Ould Abdallah,Sidi Ould Abdallah,M,1980-05-13,8001794885,MAURE,+22222875059,sidi.ouldabdallah@nafadpay.mr,CASHIER,ACTIVE,2023-09-15,STAGE,D,2023-09-15T17:06:22.413Z,2023-10-28T19:31:51.023Z
18,4,NKC-N-004,AG-NKC-N-004-05,Nouhoum,Cissé,Nouhoum Cissé,M,1995-03-08,9501975972,SONINKE,+22234002135,nouhoum.cissé@nafadpay.mr,CASHIER,INACTIVE,2021-12-24,STAGE,E,2021-12-24T03:12:20.095Z,2023-06-06T05:01:02.975Z
19,5,NKC-N-005,AG-NKC-N-005-01,Ahmed,Ould Nagi,Ahmed Ould Nagi,M,1977-08-18,7701023257,MAURE,+22244639543,ahmed.ouldnagi@nafadpay.mr,MANAGER,ACTIVE,2021-08-29,CDD,A,2021-08-29T00:17:23.021Z,2023-10-27T05:28:19.668Z
20,5,NKC-N-005,AG-NKC-N-005-02,Fallou,Fall,Fallou Fall,M,1973-06-11,7301283688,PEUL,+22222288679,fallou.fall@nafadpay.mr,CASHIER,ACTIVE,2021-02-22,CDI,E,2021-02-22T00:35:57.753Z,2023-06-12T15:57:03.150Z
21,5,NKC-N-005,AG-NKC-N-005-03,Yaya,Ba,Yaya Ba,M,1991-02-10,9101689240,PEUL,+22237857528,yaya.ba@nafadpay.mr,CASHIER,ACTIVE,2022-01-07,STAGE,E,2022-01-07T16:06:19.641Z,2022-06-15T15:49:06.315Z
22,5,NKC-N-005,AG-NKC-N-005-04,Tacko,Baldé,Tacko Baldé,F,1986-05-16,8601241507,WOLOF,+22223506835,tacko.baldé@nafadpay.mr,CASHIER,ACTIVE,2023-12-30,STAGE,D,2023-12-30T05:15:35.932Z,2024-01-21T14:26:26.075Z
23,6,NKC-N-006,AG-NKC-N-006-01,Jemila,Mint Abdel Aziz,Jemila Mint Abdel Aziz,F,1992-10-04,9201992079,MAURE,+22236278444,jemila.mintabdelaziz@nafadpay.mr,MANAGER,ACTIVE,2023-11-29,CDD,B,2023-11-29T02:26:54.258Z,2024-05-16T14:21:29.369Z
24,6,NKC-N-006,AG-NKC-N-006-02,Massamba,Cissé,Massamba Cissé,M,1984-10-15,8401598342,SONINKE,+22224059264,massamba.cissé@nafadpay.mr,CASHIER,ACTIVE,2023-09-10,STAGE,E,2023-09-10T02:58:06.059Z,2024-03-10T16:43:58.190Z
25,6,NKC-N-006,AG-NKC-N-006-03,Haby,Anne,Haby Anne,F,1973-02-25,7301472420,PEUL,+22246577304,haby.anne@nafadpay.mr,CASHIER,ACTIVE,2023-10-21,CDD,C,2023-10-21T00:52:04.382Z,2024-05-17T04:29:40.720Z
26,6,NKC-N-006,AG-NKC-N-006-04,Thierno,Baldé,Thierno Baldé,M,1970-05-12,7001282572,WOLOF,+22235209124,thierno.baldé@nafadpay.mr,CASHIER,ACTIVE,2020-04-13,CDD,D,2020-04-13T20:51:47.620Z,2020-12-18T05:25:57.410Z
27,6,NKC-N-006,AG-NKC-N-006-05,Cheibany,Ould Brahim,Cheibany Ould Brahim,M,1973-01-18,7301095511,MAURE,+22225234742,cheibany.ouldbrahim@nafadpay.mr,CASHIER,ACTIVE,2021-07-26,STAGE,E,2021-07-26T16:26:08.066Z,2023-08-19T17:07:30.393Z
28,7,NKC-N-007,AG-NKC-N-007-01,Adama,Koné,Adama Koné,M,1995-08-18,9501185447,PEUL,+22237728042,adama.koné@nafadpay.mr,MANAGER,ACTIVE,2023-04-02,CDD,B,2023-04-02T12:01:30.499Z,2024-12-06T13:42:37.686Z
29,7,NKC-N-007,AG-NKC-N-007-02,Zein,Kane,Zein Kane,M,1987-07-22,8701014090,WOLOF,+22222667349,zein.kane@nafadpay.mr,CASHIER,ACTIVE,2021-04-28,CDI,E,2021-04-28T19:29:44.487Z,2024-10-30T09:50:31.204Z
30,7,NKC-N-007,AG-NKC-N-007-03,Hawa,Mint Mohamed,Hawa Mint Mohamed,F,1986-06-22,8601312113,MAURE,+22235439795,hawa.mintmohamed@nafadpay.mr,CASHIER,ACTIVE,2021-12-28,CDI,C,2021-12-28T02:32:57.891Z,2022-04-13T22:59:45.942Z
31,8,NKC-N-008,AG-NKC-N-008-01,Mohamed Yahya,Sarr,Mohamed Yahya Sarr,M,1989-02-28,8901151634,SONINKE,+22236073695,mohamed yahya.sarr@nafadpay.mr,MANAGER,ACTIVE,2021-05-27,STAGE,B,2021-05-27T19:19:16.416Z,2023-08-27T05:31:05.972Z
32,8,NKC-N-008,AG-NKC-N-008-02,Jemila,Mint Bouha,Jemila Mint Bouha,F,2000-09-04,0001222625,MAURE,+22223543962,jemila.mintbouha@nafadpay.mr,CASHIER,ACTIVE,2020-10-31,CDI,E,2020-10-31T18:04:03.785Z,2021-11-04T14:01:52.794Z
33,8,NKC-N-008,AG-NKC-N-008-03,Taleb,Ould Vadel,Taleb Ould Vadel,M,1970-07-21,7001353683,MAURE,+22235665729,taleb.ouldvadel@nafadpay.mr,CASHIER,ACTIVE,2023-03-18,CDD,D,2023-03-18T06:06:57.956Z,2024-11-17T01:45:59.211Z
34,8,NKC-N-008,AG-NKC-N-008-04,Abeih,Ould Nenni,Abeih Ould Nenni,M,1989-01-25,8901877202,MAURE,+22224990915,abeih.ouldnenni@nafadpay.mr,CASHIER,ACTIVE,2021-10-26,CDD,E,2021-10-26T17:45:28.282Z,2022-03-04T05:30:55.843Z
35,8,NKC-N-008,AG-NKC-N-008-05,Naima,Mint Vadel,Naima Mint Vadel,F,1975-01-13,7501402997,MAURE,+22225749948,naima.mintvadel@nafadpay.mr,CASHIER,ACTIVE,2021-11-11,STAGE,C,2021-11-11T22:21:05.432Z,2021-12-07T02:38:42.525Z
36,8,NKC-N-008,AG-NKC-N-008-06,Abdel Rahman,Ndiaye,Abdel Rahman Ndiaye,M,1972-10-25,7201180245,SONINKE,+22225841702,abdel rahman.ndiaye@nafadpay.mr,CASHIER,ACTIVE,2020-09-28,CDD,D,2020-09-28T19:43:03.847Z,2022-05-07T07:46:38.287Z
37,9,NKC-N-009,AG-NKC-N-009-01,Jemila,Kanouté,Jemila Kanouté,F,1972-02-24,7201576356,WOLOF,+22248685968,jemila.kanouté@nafadpay.mr,MANAGER,ACTIVE,2020-07-15,STAGE,B,2020-07-15T16:33:23.076Z,2024-05-22T03:02:35.432Z
38,9,NKC-N-009,AG-NKC-N-009-02,Dah,Ly,Dah Ly,M,1975-11-08,7501012949,PEUL,+22237857716,dah.ly@nafadpay.mr,CASHIER,ACTIVE,2020-12-31,STAGE,C,2020-12-31T19:36:35.769Z,2023-08-30T08:24:10.386Z
39,9,NKC-N-009,AG-NKC-N-009-03,El Hadj,Guèye,El Hadj Guèye,M,1999-10-03,9901160949,SONINKE,+22225347385,el hadj.guèye@nafadpay.mr,CASHIER,ACTIVE,2020-08-12,CDI,E,2020-08-12T19:50:11.128Z,2024-09-07T12:22:45.556Z
40,9,NKC-N-009,AG-NKC-N-009-04,Minetou,Camara,Minetou Camara,F,2000-08-11,0001446847,PEUL,+22224482920,minetou.camara@nafadpay.mr,CASHIER,ACTIVE,2020-09-10,CDD,E,2020-09-10T13:43:31.367Z,2021-04-20T22:08:49.935Z
41,10,NKC-N-010,AG-NKC-N-010-01,Mahfoudh,Ould Habiboullah,Mahfoudh Ould Habiboullah,M,1995-04-27,9501120446,MAURE,+22224087591,mahfoudh.ouldhabiboullah@nafadpay.mr,MANAGER,ACTIVE,2023-04-10,CDI,B,2023-04-10T00:38:31.268Z,2024-04-23T11:27:44.771Z
42,10,NKC-N-010,AG-NKC-N-010-02,Minetou,Diagana,Minetou Diagana,F,1975-04-23,7501889592,WOLOF,+22224599066,minetou.diagana@nafadpay.mr,CASHIER,ACTIVE,2021-05-13,CDD,E,2021-05-13T21:57:37.613Z,2024-10-04T19:58:56.081Z
43,11,NKC-N-011,AG-NKC-N-011-01,Aissata,Mint Abdel Aziz,Aissata Mint Abdel Aziz,F,1996-04-26,9601227625,MAURE,+22236262663,aissata.mintabdelaziz@nafadpay.mr,MANAGER,ACTIVE,2021-12-01,CDD,A,2021-12-01T00:36:44.870Z,2024-12-06T04:26:14.330Z
44,11,NKC-N-011,AG-NKC-N-011-02,Naha,Mint Vall,Naha Mint Vall,F,1985-02-20,8501860277,MAURE,+22233573487,naha.mintvall@nafadpay.mr,CASHIER,ACTIVE,2022-11-11,CDD,D,2022-11-11T16:58:55.332Z,2023-09-29T11:30:23.584Z
45,11,NKC-N-011,AG-NKC-N-011-03,Siaka,Diagana,Siaka Diagana,M,1970-07-04,7001260657,PEUL,+22222662722,siaka.diagana@nafadpay.mr,CASHIER,ACTIVE,2023-09-21,CDD,E,2023-09-21T04:00:50.550Z,2024-03-16T02:07:59.344Z
46,11,NKC-N-011,AG-NKC-N-011-04,Tidiane,Dia,Tidiane Dia,M,1985-07-08,8501284941,WOLOF,+22246732829,tidiane.dia@nafadpay.mr,CASHIER,ACTIVE,2023-12-02,STAGE,D,2023-12-02T04:48:20.218Z,2024-06-24T16:30:41.817Z
