id,code,mcc,name,category_code,category_label,owner_first_name,owner_last_name,owner_full_name,owner_gender,owner_ethnicity,phone,email,wilaya_id,wilaya_name,moughataa_id,moughataa_name,address,latitude,longitude,commission_rate,avg_transaction_min,avg_transaction_max,status,registration_date,created_at,updated_at
1,MRC373778,5411,undefined Essalem Adrar,ALM,,Zein,Ould Ahmedou,Zein Ould Ahmedou,M,MAURE,+22248108156,undefinedessale@nafadpay.mr,12,Adrar,45,,179 Avenue Nasser,NaN,NaN,0.0197,200,5000,INACTIVE,2022-08-06,2022-08-06T19:40:01.164Z,2023-07-09T02:43:44.966Z
2,MRC989467,4812,undefined Capital Nouakchott-Sud,TEL,,El Hacen,Niang,El Hacen Niang,M,PEUL,+22225490256,undefinedcapita@nafadpay.mr,3,Nouakchott-Sud,8,,25 Avenue du Commerce,NaN,NaN,0.0213,500,10000,ACTIVE,2023-05-26,2023-05-26T05:22:30.666Z,2023-07-19T09:51:28.645Z
3,MRC996826,5411,undefined du Sahel Gorgol,ALM,,Mansour,Ndour,Mansour Ndour,M,PEUL,+22234311803,undefineddusahe@nafadpay.mr,7,Gorgol,22,,66 Avenue Gamal,NaN,NaN,0.0209,200,5000,ACTIVE,2021-07-21,2021-07-21T17:52:10.507Z,2022-10-11T06:10:02.561Z
4,MRC031025,5912,undefined de la Corniche Nouakchott-Ouest,SAN,,Bakary,Sarr,Bakary Sarr,M,WOLOF,+22236706421,undefineddelaco@nafadpay.mr,2,Nouakchott-Ouest,4,,4 Avenue du Commerce,NaN,NaN,0.0184,500,50000,INACTIVE,2024-08-22,2024-08-22T22:39:00.663Z,2024-09-17T09:38:38.350Z
5,MRC582357,5912,undefined du Marché Nouakchott-Ouest,SAN,,Ahmed Baba,Ould Sidi,Ahmed Baba Ould Sidi,M,MAURE,+22223525435,undefineddumarc@nafadpay.mr,2,Nouakchott-Ouest,6,,128 Avenue de la Paix,NaN,NaN,0.0276,500,50000,ACTIVE,2023-10-11,2023-10-11T04:05:21.747Z,2024-06-12T03:59:41.462Z
6,MRC645930,5732,undefined Al Amane Dakhlet Nouadhibou,ELC,,Mbareck,Fofana,Mbareck Fofana,M,PEUL,+22222412925,undefinedalaman@nafadpay.mr,4,Dakhlet Nouadhibou,10,,146 Avenue Principale,NaN,NaN,0.01,5000,200000,ACTIVE,2022-09-30,2022-09-30T07:38:43.805Z,2024-12-18T05:41:46.918Z
7,MRC197242,4812,undefined El Mouna Hodh El Gharbi,TEL,,Bassirou,Baldé,Bassirou Baldé,M,SONINKE,+22233681814,undefinedelmoun@nafadpay.mr,11,Hodh El Gharbi,41,,126 Avenue du Commerce,NaN,NaN,0.0077,500,10000,ACTIVE,2021-12-03,2021-12-03T17:51:26.018Z,2023-09-24T04:12:27.140Z
8,MRC076658,5411,undefined Central Dakhlet Nouadhibou,ALM,,Zahra,Mint Limam,Zahra Mint Limam,F,MAURE,+22223687866,undefinedcentra@nafadpay.mr,4,Dakhlet Nouadhibou,10,,152 Avenue Principale,NaN,NaN,0.006,200,5000,ACTIVE,2023-12-18,2023-12-18T08:31:42.285Z,2023-12-22T05:51:04.768Z
9,MRC678048,5411,undefined El Baraka Dakhlet Nouadhibou,ALM,,Ahmed Baba,Ould Soufi,Ahmed Baba Ould Soufi,M,MAURE,+22225129416,undefinedelbara@nafadpay.mr,4,Dakhlet Nouadhibou,10,,167 Avenue Principale,NaN,NaN,0.0258,200,5000,ACTIVE,2024-09-04,2024-09-04T07:23:00.949Z,2024-09-10T04:35:30.199Z
10,MRC249760,5651,undefined Central Dakhlet Nouadhibou,HAB,,Houda,Bâ,Houda Bâ,F,WOLOF,+22224862683,undefinedcentra@nafadpay.mr,4,Dakhlet Nouadhibou,10,,108 Avenue Gamal,NaN,NaN,0.0081,2000,30000,ACTIVE,2021-04-07,2021-04-07T11:27:17.378Z,2021-07-04T21:24:37.897Z
