id,nni,first_name,last_name,full_name,gender,birth_date,ethnicity,phone,email,wilaya_id,wilaya_name,moughataa_id,moughataa_name,profile_type,kyc_level,status,device_type,registration_date,last_login,created_at,updated_at
1,8102289033,Bakary,Thiam,Bakary Thiam,M,1981-04-03,SONINKE,+22246223085,,2,Nouakchott-Ouest,4,,STANDARD,,ACTIVE,USSD,2022-02-10,2023-09-17T06:27:58.609Z,2022-02-10T23:07:10.861Z,2023-09-17T06:27:58.609Z
2,8101508597,Ahmed Baba,Ould Horma,Ahmed Baba Ould Horma,M,1981-04-02,MAURE,+22223958573,ahmedbaba.ouldhorma665@hotmail.fr,1,Nouakchott-Nord,2,,STANDARD,,ACTIVE,ANDROID,2024-05-09,2024-08-10T08:30:49.066Z,2024-05-09T02:13:12.825Z,2024-08-10T08:30:49.066Z
3,9402672314,Bintou,Tall,Bintou Tall,F,1994-09-27,PEUL,+22224451167,,2,Nouakchott-Ouest,5,,OCCASIONAL,,INACTIVE,ANDROID,2022-01-02,2022-08-23T11:14:33.576Z,2022-01-02T03:08:00.078Z,2022-08-23T11:14:33.576Z
4,8904650338,Adama,Thiam,Adama Thiam,M,1989-08-13,SONINKE,+22225629295,,4,Dakhlet Nouadhibou,10,,ACTIVE,,ACTIVE,ANDROID,2023-08-18,2024-08-09T06:31:59.804Z,2023-08-18T15:43:24.054Z,2024-08-09T06:31:59.804Z
5,8004459303,Leila,Mint Habiboullah,Leila Mint Habiboullah,F,1980-12-08,MAURE,+22224321406,leila.minthabiboullah612@yahoo.fr,4,Dakhlet Nouadhibou,10,,ACTIVE,,ACTIVE,WEB,2023-01-19,2023-10-31T12:25:35.918Z,2023-01-19T13:44:53.142Z,2023-10-31T12:25:35.918Z
6,6901891969,Cheikh Sidiya,Ould Limam,Cheikh Sidiya Ould Limam,M,1969-04-28,MAURE,+22225299558,,1,Nouakchott-Nord,2,,DORMANT,,ACTIVE,WEB,2024-02-07,2024-03-24T02:45:31.289Z,2024-02-07T08:15:17.797Z,2024-03-24T02:45:31.289Z
7,6715896923,Tacko,Doucouré,Tacko Doucouré,F,1967-04-11,PEUL,+22232494394,tacko.doucouré687@hotmail.fr,15,Tiris Zemmour,55,,STANDARD,,ACTIVE,IOS,2022-01-06,2023-01-04T14:02:55.171Z,2022-01-06T01:14:58.335Z,2023-01-04T14:02:55.171Z
8,7003410982,Cheibany,Ould El Mokhtar,Cheibany Ould El Mokhtar,M,1970-09-14,MAURE,+22224242026,cheibany.ouldelmokhtar915@yahoo.fr,3,Nouakchott-Sud,7,,STANDARD,,PENDING_KYC,ANDROID,2024-01-15,2024-11-12T17:07:14.597Z,2024-01-15T01:08:59.760Z,2024-11-12T17:07:14.597Z
9,8303255387,Wedadi,Barry,Wedadi Barry,M,1983-02-12,PEUL,+22236631273,,3,Nouakchott-Sud,9,,STANDARD,,ACTIVE,ANDROID,2023-11-18,2024-09-24T00:54:56.014Z,2023-11-18T09:07:40.644Z,2024-09-24T00:54:56.014Z
10,8803165573,Aïda,Koita,Aïda Koita,F,1988-12-20,WOLOF,+22235435519,aïda.koita460@gmail.com,3,Nouakchott-Sud,9,,OCCASIONAL,,ACTIVE,ANDROID,2024-03-13,2024-09-04T13:00:44.635Z,2024-03-13T09:14:38.618Z,2024-09-04T13:00:44.635Z
11,9501390298,Boubacar,Soumaré,Boubacar Soumaré,M,1995-01-20,PEUL,+22224219504,boubacar.soumaré644@yahoo.fr,1,Nouakchott-Nord,2,,OCCASIONAL,,ACTIVE,IOS,2022-10-21,2024-08-07T15:04:23.498Z,2022-10-21T01:00:43.277Z,2024-08-07T15:04:23.498Z
12,6308834002,Noura,Mint Vall,Noura Mint Vall,F,1963-04-05,MAURE,+22222867528,,8,Guidimaka,27,,STANDARD,,ACTIVE,ANDROID,2023-08-02,2024-04-19T10:21:40.950Z,2023-08-02T07:53:48.960Z,2024-04-19T10:21:40.950Z
13,0405102170,Mouna,Mint Sidi,Mouna Mint Sidi,F,2004-04-21,MAURE,+22225737167,mouna.mintsidi394@gmail.com,5,Trarza,12,,STANDARD,,ACTIVE,IOS,2023-08-05,2023-08-17T19:32:32.841Z,2023-08-05T00:28:14.238Z,2023-08-17T19:32:32.841Z
14,8504215522,Tekber,Mint Jiddou,Tekber Mint Jiddou,F,1985-06-23,MAURE,+22225439437,,4,Dakhlet Nouadhibou,10,,ACTIVE,,PENDING_KYC,ANDROID,2023-04-05,2023-11-07T07:24:09.745Z,2023-04-05T19:02:32.985Z,2023-11-07T07:24:09.745Z
15,7614942586,Mohamed Mahmoud,Ould Ahmed,Mohamed Mahmoud Ould Ahmed,M,1976-02-12,MAURE,+22224080633,,14,Inchiri,52,,OCCASIONAL,,ACTIVE,ANDROID,2024-07-28,2024-08-09T02:19:14.960Z,2024-07-28T07:02:14.816Z,2024-08-09T02:19:14.960Z
16,9203106922,Harouna,Wane,Harouna Wane,M,1992-12-08,WOLOF,+22223903638,harouna.wane833@yahoo.fr,3,Nouakchott-Sud,9,,PREMIUM,,INACTIVE,WEB,2022-01-05,2024-01-13T14:49:43.799Z,2022-01-05T18:12:47.604Z,2024-01-13T14:49:43.799Z
17,6207192625,Halima,Mint Ahmed,Halima Mint Ahmed,F,1962-09-20,MAURE,+22245306107,,7,Gorgol,25,,STANDARD,,ACTIVE,IOS,2022-07-07,2023-04-09T03:44:17.804Z,2022-07-07T12:05:32.944Z,2023-04-09T03:44:17.804Z
18,9806587137,Hamoud,Ould El Ghassem,Hamoud Ould El Ghassem,M,1998-08-08,MAURE,+22223895821,hamoud.ouldelghassem610@hotmail.fr,6,Brakna,21,,OCCASIONAL,,ACTIVE,ANDROID,2024-10-01,2024-10-09T06:19:58.420Z,2024-10-01T00:24:34.200Z,2024-10-09T06:19:58.420Z
19,6402438018,Tekber,Mint Abeih,Tekber Mint Abeih,F,1964-12-17,MAURE,+22237634265,,2,Nouakchott-Ouest,5,,ACTIVE,,ACTIVE,USSD,2023-12-26,2024-06-01T03:12:44.847Z,2023-12-26T14:21:46.320Z,2024-06-01T03:12:44.847Z
20,8802863038,Noura,Mint Limam,Noura Mint Limam,F,1988-03-12,MAURE,+22232711108,,2,Nouakchott-Ouest,4,,STANDARD,,ACTIVE,ANDROID,2023-04-04,2024-03-13T07:16:42.670Z,2023-04-04T23:20:35.963Z,2024-03-13T07:16:42.670Z
21,0404948548,Souleymane,Thiam,Souleymane Thiam,M,2004-03-14,PEUL,+22224272391,,4,Dakhlet Nouadhibou,10,,STANDARD,,PENDING_KYC,IOS,2022-03-18,2022-04-13T02:43:29.340Z,2022-03-18T17:59:07.639Z,2022-04-13T02:43:29.340Z
22,8203755011,Ibrahima,Dia,Ibrahima Dia,M,1982-06-18,SONINKE,+22225796948,ibrahima.dia24@outlook.com,3,Nouakchott-Sud,9,,OCCASIONAL,,ACTIVE,IOS,2022-01-12,2022-08-27T19:13:05.382Z,2022-01-12T21:08:12.325Z,2022-08-27T19:13:05.382Z
23,6406044396,Souleymane,Ould Hadrami,Souleymane Ould Hadrami,M,1964-02-08,MAURE,+22225387198,,6,Brakna,19,,ACTIVE,,ACTIVE,IOS,2022-07-23,2023-04-01T09:15:44.471Z,2022-07-23T15:16:17.252Z,2023-04-01T09:15:44.471Z
24,6202834971,Naima,Mint Messoud,Naima Mint Messoud,F,1962-04-15,MAURE,+22235241497,naima.mintmessoud511@hotmail.fr,2,Nouakchott-Ouest,6,,ACTIVE,,ACTIVE,IOS,2022-05-11,2023-03-10T00:40:48.298Z,2022-05-11T02:32:51.409Z,2023-03-10T00:40:48.298Z
25,9502265548,Aichetou,Gaye,Aichetou Gaye,F,1995-06-25,SONINKE,+22234262583,,2,Nouakchott-Ouest,4,,STANDARD,,ACTIVE,USSD,2022-02-01,2023-10-16T06:14:50.816Z,2022-02-01T21:27:49.940Z,2023-10-16T06:14:50.816Z
26,9201390374,Abdoul,Gaye,Abdoul Gaye,M,1992-08-14,PEUL,+22233409117,,1,Nouakchott-Nord,1,,ACTIVE,,ACTIVE,ANDROID,2024-01-14,2024-02-01T22:08:30.405Z,2024-01-14T19:37:47.656Z,2024-02-01T22:08:30.405Z
